Product ID (EAN/UPC/ISBN/ISSN/Allegro Product ID),Main Category,Leaf Category,Reference number/Seller SKU,Quantity,Price,Title,Images,Offer Description,Shipping Price List
4718755086601,,,362020,3,2782,,,,
4719072898724,,,345025,1,766,,,,
4718017957489,,,299914,0,420,,,,
4977766782586,,,235027,0,797,,,,
5397184504888,,,312095,5,677,,,,
8806091636959,,,337994,0,1130,,,,
4713218465009,,,236557,1,216,,,,
5397184092385,,,264164,5,742,,,,
4718017451284,,,285585,5,467,,,,
4719512106310,,,324417,0,485,,,,
8806091356888,,,335788,5,451,,,,
4718017978446,,,330893,0,4057,,,,
4719072793814,,,310901,5,1658,,,,
8594214630143,,,325881,3,1578,,,,
8806092296442,,,320251,5,799,,,,
4038986187381,,,295902,0,923,,,,
8715946703503,,,361463,5,2036,,,,
8718863029015,,,348891,5,4365,,,,
8806091624307,,,345851,5,3071,,,,
8718863034453,,,351055,5,4122,,,,
4711081565499,,,335622,4,386,,,,
4719331309459,,,348111,1,2775,,,,
8806098407958,,,345262,5,467,,,,
4718017749688,,,289969,5,679,,,,
4719331552251,,,332488,5,1138,,,,
8806091393593,,,345896,2,1615,,,,
8806090195280,,,282169,5,404,,,,
3831109821831,,,288430,3,808,,,,
4711081888048,,,362654,2,808,,,,
4711081309925,,,320677,5,1615,,,,
8715946649849,,,361574,1,2683,,,,
4548736124141,,,312853,5,1292,,,,
4719072965440,,,345667,0,1679,,,,
4711081604358,,,356059,5,759,,,,
4719512118399,,,346176,0,307,,,,
4719331303280,,,312571,3,354,,,,
8806090389948,,,283329,5,968,,,,
4549292186574,,,343352,0,887,,,,
8809213768583,,,320671,0,402,,,,
5901292511197,,,327650,5,908,,,,
4719331552015,,,312423,5,603,,,,
8594214630044,,,339032,5,9702,,,,
4719331309305,,,326158,5,1595,,,,
8806091356581,,,358486,5,612,,,,
4711081171140,,,324263,5,549,,,,
8806092002111,,,288296,0,2424,,,,
4719331309404,,,323016,1,2603,,,,
4710180458268,,,282988,5,710,,,,
4260052187227,,,265060,1,260,,,,
8806090137297,,,275447,5,1049,,,,
4710562242423,,,308704,5,1454,,,,
4711081941088,,,357469,5,1447,,,,
4719331822842,,,336116,0,1728,,,,
4719072752767,,,311379,5,467,,,,
5901292517137,,,335449,5,784,,,,
5397184505175,,,321527,5,726,,,,
8594214630129,,,357804,1,2747,,,,
4711081033721,,,324257,5,585,,,,
5397184567821,,,297502,5,645,,,,
8806092176966,,,272383,5,596,,,,
4718017927222,,,308594,2,2844,,,,
4547410449358,,,331798,1,375,,,,
8806091217868,,,318199,0,1155,,,,
