ean,condition,price,currency,id_warehouse,count,price_cs,handling_time
4718755086601,,592,24.0,362020,3,,
4719072898724,,163,24.0,345025,1,,
4718017957489,,89,24.0,299914,0,,
4977766782586,,169,24.0,235027,0,,
5397184504888,,144,24.0,312095,5,,
8806091636959,,240,24.0,337994,0,,
4713218465009,,46,24.0,236557,1,,
5397184092385,,158,24.0,264164,5,,
4718017451284,,99,24.0,285585,5,,
4719512106310,,103,24.0,324417,0,,
8806091356888,,96,24.0,335788,5,,
4718017978446,,864,24.0,330893,0,,
4719072793814,,353,24.0,310901,5,,
8594214630143,,336,24.0,325881,3,,
8806092296442,,170,24.0,320251,5,,
4038986187381,,196,24.0,295902,0,,
8715946703503,,433,24.0,361463,5,,
8718863029015,,929,24.0,348891,5,,
8806091624307,,653,24.0,345851,5,,
8718863034453,,877,24.0,351055,5,,
4711081565499,,82,24.0,335622,4,,
4719331309459,,590,24.0,348111,1,,
8806098407958,,99,24.0,345262,5,,
4718017749688,,144,24.0,289969,5,,
4719331552251,,242,24.0,332488,5,,
8806091393593,,344,24.0,345896,2,,
8806090195280,,86,24.0,282169,5,,
3831109821831,,172,24.0,288430,3,,
4711081888048,,172,24.0,362654,2,,
4711081309925,,344,24.0,320677,5,,
8715946649849,,571,24.0,361574,1,,
4548736124141,,275,24.0,312853,5,,
4719072965440,,357,24.0,345667,0,,
4711081604358,,161,24.0,356059,5,,
4719512118399,,65,24.0,346176,0,,
4719331303280,,75,24.0,312571,3,,
8806090389948,,206,24.0,283329,5,,
4549292186574,,189,24.0,343352,0,,
8809213768583,,85,24.0,320671,0,,
5901292511197,,193,24.0,327650,5,,
4719331552015,,128,24.0,312423,5,,
8594214630044,,2065,24.0,339032,5,,
4719331309305,,339,24.0,326158,5,,
8806091356581,,130,24.0,358486,5,,
4711081171140,,117,24.0,324263,5,,
8806092002111,,516,24.0,288296,0,,
4719331309404,,554,24.0,323016,1,,
4710180458268,,151,24.0,282988,5,,
4260052187227,,55,24.0,265060,1,,
8806090137297,,223,24.0,275447,5,,
4710562242423,,309,24.0,308704,5,,
4711081941088,,308,24.0,357469,5,,
4719331822842,,368,24.0,336116,0,,
4719072752767,,99,24.0,311379,5,,
5901292517137,,166,24.0,335449,5,,
5397184505175,,154,24.0,321527,5,,
8594214630129,,585,24.0,357804,1,,
4711081033721,,124,24.0,324257,5,,
5397184567821,,137,24.0,297502,5,,
8806092176966,,127,24.0,272383,5,,
4718017927222,,605,24.0,308594,2,,
4547410449358,,79,24.0,331798,1,,
